measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Nebraska,Both,All ages,Liver cancer due to alcohol use,Number,1992,10.414584871790344,11.907358529704082,8.952906648454544
Deaths,Nebraska,Both,All ages,Alcohol use disorders,Number,1992,29.50506342979269,32.27191183586034,26.951543101938476
Deaths,North Dakota,Both,All ages,Alcohol use disorders,Number,1990,18.23036221993242,19.872836536659754,16.5869190875692
Deaths,Nebraska,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1992,49.19321454670499,56.03369166532176,43.228338735930166
Deaths,Texas,Both,All ages,Alcoholic cardiomyopathy,Number,1992,382.2522063858869,454.4921884849314,277.17159226694605
Deaths,United States of America,Both,All ages,Liver cancer due to alcohol use,Number,1990,1874.502508421247,2088.636428968301,1656.188056871404
Deaths,Alaska,Both,All ages,Alcohol use disorders,Number,1990,35.66298601721761,39.07239630352878,32.3840446793736
Deaths,Kentucky,Both,All ages,Alcohol use disorders,Number,1990,93.54469488948634,100.07917136870297,87.35661942084016
Deaths,North Carolina,Both,All ages,Alcoholic cardiomyopathy,Number,1990,185.97687855459773,222.31798336543446,134.49010158691365
Deaths,Utah,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1992,44.41745544851432,50.894276699386594,38.737746336238445
Deaths,Virginia,Both,All ages,Alcoholic cardiomyopathy,Number,1991,163.35328083006362,202.29481096199336,110.82388252725558
Deaths,Maine,Both,All ages,Liver cancer due to alcohol use,Number,1990,8.768858829880157,10.125968893872102,7.51108636477639
Deaths,Maine,Both,All ages,Alcohol use disorders,Number,1990,36.142071129053356,39.49922751022209,33.23234829189824
Deaths,Wyoming,Both,All ages,Alcoholic cardiomyopathy,Number,1990,6.506606886493619,8.03900648071786,5.133802013623447
Deaths,Hawaii,Both,All ages,Alcoholic cardiomyopathy,Number,1992,41.32360223898419,58.249009453692,22.98947543730185
Deaths,Washington,Both,All ages,Alcohol use disorders,Number,1991,118.8832630622037,126.78206515553946,111.57477251988759
Deaths,New Mexico,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1991,87.76010179713602,99.98318891477706,75.99842511783581
Deaths,Nebraska,Both,All ages,Alcoholic cardiomyopathy,Number,1992,28.33720544965586,34.211587622979756,21.938109927652143
Deaths,Alaska,Both,All ages,Alcoholic cardiomyopathy,Number,1990,9.126690269664591,10.549803881914848,6.814958016569575
Deaths,Washington,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1991,175.40216609342062,199.77529886378792,152.2285852142384
Deaths,North Carolina,Both,All ages,Liver cancer due to alcohol use,Number,1991,42.74875062540944,48.4969553576623,36.994186316795904
Deaths,North Carolina,Both,All ages,Alcohol use disorders,Number,1991,297.50329172143836,314.3360204439075,281.5411862777539
Deaths,New Jersey,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1991,389.76095263631964,443.265180437176,342.9125731468766
Deaths,Virginia,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1991,235.31130893438072,266.6179097272253,205.29501657174146
Deaths,Wisconsin,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1990,164.56661188612637,188.81467540611297,141.579141683583
Deaths,Ohio,Both,All ages,Liver cancer due to alcohol use,Number,1990,73.41528832045354,83.394443250093,64.0582714384512
Deaths,New Mexico,Both,All ages,Alcohol use disorders,Number,1991,105.11754803494381,112.9683532794696,97.82209947065654
Deaths,Massachusetts,Both,All ages,Alcohol use disorders,Number,1990,137.66069538740348,147.00789965557792,129.04820841955643
Deaths,North Dakota,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1990,20.469019211009,23.834051823010693,17.533025027890115
Deaths,Idaho,Both,All ages,Liver cancer due to alcohol use,Number,1992,6.1831623048729245,7.042802910808206,5.324020212323553
Deaths,Idaho,Both,All ages,Alcohol use disorders,Number,1992,25.27676994372551,27.622738826346126,23.10864059929206
Deaths,Alabama,Both,All ages,Alcoholic cardiomyopathy,Number,1991,115.5800798317697,143.06625074979016,83.26448776752592
Deaths,Nevada,Both,All ages,Liver cancer due to alcohol use,Number,1992,9.386141114115238,10.881083722395623,8.081762249943186
Deaths,Nevada,Both,All ages,Alcohol use disorders,Number,1992,63.674304898315086,69.2062424199903,58.66802347842432
